#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_2937	3998	6390	3318	4014	3653	2408	5559	3932	3700	3468
SL1344_2938	1794	3306	2062	2552	2190	769	3489	2142	1826	2602
SL1344_2939	1318	1907	1068	1472	1115	380	1580	1046	968	1270
SL1344_2940	116	156	82	78	97	29	92	54	62	72
SL1344_2941	155	335	179	174	195	85	256	145	120	139
SL1344_2942	137	346	143	149	192	67	238	120	130	172
SL1344_2943	32	61	21	29	34	25	42	31	8	30
SL1344_2944	2925	3209	1660	2567	2095	877	2734	1836	2034	1496
SL1344_2945	1369	1223	893	1426	775	501	1105	791	820	1058
SL1344_2946	162	198	183	243	117	51	199	126	128	214
SL1344_2947	1481	926	676	1200	630	340	919	621	591	1097
SL1344_2948	448	892	552	704	548	196	826	588	534	593
SL1344_2949	2078	3521	1560	2079	2090	697	2522	2000	2331	1807
SL1344_2950	5217	7576	5143	2854	9600	946	2369	5986	10192	7255
SL1344_2951	4433	6628	3282	1939	5379	778	1732	3717	5963	4483
SL1344_2952	657	571	297	309	457	68	295	296	263	557
SL1344_2953	41	83	53	14	53	13	58	32	65	41
SL1344_2954	11	39	6	8	21	6	11	9	25	16
SL1344_2955	20	16	19	12	26	4	10	4	9	30
SL1344_2956	23	45	25	24	38	12	23	30	21	24
SL1344_2957	23	65	6	19	23	9	16	28	47	32
SL1344_2958	3	12	12	4	9	3	9	10	21	2
SL1344_2959	151	182	89	74	180	22	88	74	105	113
SL1344_2960	4626	6160	3886	4972	3800	1397	5199	3812	3623	3676
SL1344_2961	411	742	471	433	360	99	568	342	271	689
SL1344_2962	1572	1648	974	1182	1064	506	1516	943	995	1105
SL1344_2963	585	1846	75	206	121	269	2108	104	102	83
SL1344_2964	1172	837	638	915	499	246	865	471	427	831
SL1344_2965	327	263	196	290	146	84	209	143	112	193
SL1344_2966	230	148	95	138	111	32	127	88	59	118
SL1344_2967	2330	3705	2175	2384	2048	768	2272	1544	1682	1465
SL1344_2968	3014	4330	2664	3741	2223	1298	4022	2706	2028	1790
SL1344_2969	1698	2684	1701	1986	1813	1108	2329	1673	1456	1637
SL1344_2970	229	287	182	230	183	65	242	139	133	184
SL1344_2971	542	635	346	413	402	206	537	411	407	348
SL1344_2972	4234	6330	3626	3696	3819	1259	3666	2589	2971	3141
SL1344_2973	2216	2352	1248	1876	1399	539	1757	1215	1227	1454
SL1344_2974	1761	2378	1403	1435	1490	676	1433	1076	1015	1205
SL1344_2975	67	52	26	42	43	17	43	27	26	33
SL1344_2976	79	54	39	39	57	28	45	45	51	30
SL1344_2977	65	63	35	39	27	13	47	34	16	34
SL1344_2978	18	16	8	8	10	9	9	8	6	15
SL1344_2979	1267	1881	943	1723	1266	642	1810	1145	1263	1194
SL1344_2980	1077	1564	755	1124	889	457	1272	804	789	990
SL1344_2981	4359	5639	2939	3546	3279	1440	3421	2619	3295	2535
SL1344_2982	918	946	564	786	650	446	970	740	687	640
SL1344_2983	603	777	557	523	620	244	671	584	397	629
SL1344_2984	513	552	317	463	400	215	600	345	354	366
SL1344_2985	266	634	127	140	68	138	481	88	89	109
SL1344_2986	560	749	256	464	348	159	614	283	297	304
SL1344_2987	329	514	193	337	277	224	361	213	222	263
SL1344_2988	1384	1889	988	1442	1241	611	1534	995	1096	1071
SL1344_2989	802	1200	536	568	744	193	745	549	708	670
SL1344_2990	560	712	382	325	378	111	368	333	279	492
SL1344_2991	711	330	131	253	122	59	305	122	89	131
SL1344_2992	140	150	103	131	96	50	159	101	74	128
SL1344_2993	319	647	320	341	332	140	464	256	326	379
SL1344_2994	80	128	53	58	65	24	85	46	39	73
SL1344_2995	51	131	71	76	74	24	74	62	44	77
SL1344_2996	35	62	29	26	36	6	46	32	19	50
SL1344_2997	931	1205	468	216	766	134	247	376	646	658
SL1344_2998	430	541	341	445	428	130	399	279	298	466
SL1344_2999	30	31	24	24	29	34	40	45	38	10
SL1344_3000	590	441	323	599	384	188	586	412	428	492
SL1344_3001	674	622	346	473	363	310	519	603	821	346
SL1344_3002	122	134	116	100	73	48	90	104	73	107
SL1344_3003	189	176	52	84	86	21	146	65	79	70
SL1344_3004	41	49	32	19	30	21	45	21	18	22
SL1344_3005	67	93	53	85	47	6	110	56	44	96
SL1344_3006	15	9	2	14	2	4	8	4	3	3
SL1344_3007	7	30	9	13	18	22	16	7	8	28
SL1344_3008	33	27	29	34	18	1	32	20	20	29
SL1344_3009	640	770	427	554	483	165	658	455	421	525
SL1344_3010	40	65	34	38	60	21	59	39	38	45
SL1344_3011	401	454	278	380	325	149	427	234	167	415
SL1344_3012	2173	1951	1088	1749	1403	703	1952	1377	1165	1025
SL1344_3013	69	75	30	64	36	7	45	28	10	36
SL1344_3014	947	1151	656	861	640	247	889	624	645	708
SL1344_3015	1043	1422	573	825	561	319	1059	598	539	655
SL1344_3016	8683	13300	8005	9016	8229	6738	8226	6759	7707	5251
SL1344_3017	15635	24145	14324	14626	12905	8409	14218	11568	12640	10721
SL1344_3018	2723	4182	2406	2530	2424	1115	2927	2029	1731	2316
SL1344_3019	1223	1972	1145	1312	1067	604	1501	1029	884	951
SL1344_3020	2637	3374	1779	2389	2022	851	2332	1785	1590	1838
SL1344_3021	411	510	286	479	338	173	429	403	381	352
SL1344_3022	1484	1731	962	1361	852	561	1435	1052	974	955
SL1344_3023	1309	1196	696	904	627	258	1043	659	750	727
SL1344_3024	1320	2929	1705	1987	2028	661	2552	1688	1660	1699
SL1344_3025	1102	1034	390	797	517	313	741	410	413	664
SL1344_3026	190	236	159	182	166	63	247	145	122	190
SL1344_3027	777	1109	566	840	687	274	867	559	647	644
SL1344_3028	125	159	82	70	86	49	109	102	91	85
SL1344_3029	1575	3935	1175	1113	2430	844	1858	2176	3468	1889
SL1344_3030	515	1676	489	407	1004	276	865	1107	1762	738
SL1344_3031	783	2344	693	659	1235	463	1091	1245	1815	1119
SL1344_3032	1597	1875	971	1341	1024	561	1398	978	1044	962
SL1344_3033	474	741	408	557	400	221	520	420	395	478
SL1344_3034	1961	2688	1437	1921	1476	963	2014	1438	1413	1509
SL1344_3035	3239	4908	3023	3752	3029	992	3871	3092	3241	3910
SL1344_3036	4439	2997	2022	3342	1525	1077	3138	1901	1409	2327
SL1344_3038	1320	1928	808	937	1089	409	1087	619	667	729
SL1344_3039	4665	14957	6286	7103	6973	2453	13049	7698	8464	3482
SL1344_3040	718	831	396	764	501	166	555	412	389	569
SL1344_3041	1116	2853	240	663	289	480	2957	421	439	420
SL1344_3042	178	262	123	130	122	39	246	101	79	158
SL1344_3043	324	753	190	336	269	191	908	248	143	267
SL1344_3044	9135	21650	17282	17491	15129	6723	17191	15212	14120	10987
SL1344_3045	4035	7625	6247	5473	4467	2646	6038	4627	3701	3801
SL1344_3046	2189	3330	3928	4161	2284	1581	2683	2627	1688	1827
SL1344_3047	4	7	0	3	0	2	4	1	2	0
SL1344_3048	2	16	2	0	0	1	8	4	0	2
SL1344_3049	26	59	5	18	2	4	28	15	16	10
SL1344_3050	43	80	29	49	32	13	40	20	21	34
SL1344_3051	24	48	14	20	17	5	34	3	13	18
SL1344_3052	9140	15558	9307	11027	11151	6849	12671	10514	12234	11335
SL1344_3053	1297	3112	618	786	487	387	2622	564	562	603
SL1344_3054	3032	5083	3414	4016	2838	2298	4558	3148	2736	3177
SL1344_3055	143	215	101	94	94	57	174	104	85	99
SL1344_3056	32	39	14	27	24	3	43	23	15	30
SL1344_3057	113	141	70	97	91	28	132	98	71	92
SL1344_3058	37	53	19	33	42	22	56	23	30	44
SL1344_3059	51	74	40	38	25	21	28	21	39	33
SL1344_3060	2912	3853	1896	2734	2219	1106	3398	2272	2131	2232
SL1344_3061	129	104	46	75	23	39	145	59	41	66
SL1344_3062	4038	4501	2744	4842	2764	3005	4872	3610	4299	2584
SL1344_3063	349	384	287	413	277	277	437	400	392	318
SL1344_3064	51	52	33	59	29	23	74	42	56	41
SL1344_3065	5019	6531	6095	7774	5817	3562	9394	7012	6762	5154
SL1344_3066	1813	4230	511	486	1072	262	1794	1147	2181	828
SL1344_3067	322	293	175	303	180	104	301	176	151	263
SL1344_3068	579	745	417	529	343	345	736	376	280	325
SL1344_3069	816	1376	821	1060	868	365	1314	812	749	790
SL1344_3070	673	1078	688	869	602	379	1081	647	572	580
SL1344_3071	672	691	374	496	352	168	606	315	263	418
SL1344_3072	287	270	169	199	177	116	261	119	163	180
SL1344_3073	459	471	332	440	442	184	552	288	303	308
SL1344_3074	98	131	99	85	101	37	86	66	49	109
SL1344_3075	2718	3180	2107	2769	2120	560	2815	1927	2227	2159
SL1344_3076	495	656	393	486	360	242	547	401	353	439
SL1344_3077	294	424	264	325	227	109	292	208	190	265
SL1344_3078	669	946	563	801	595	289	772	537	493	671
SL1344_3079	1705	2125	1252	1900	1349	610	1833	1148	1165	1357
SL1344_3080	201	214	95	112	103	42	132	89	136	138
SL1344_3081	735	1040	435	347	646	146	369	409	600	549
SL1344_3082	3846	2947	1482	1817	1287	1348	1924	1558	1402	1226
SL1344_3083	3843	5886	3729	4321	3651	1797	4988	3890	3625	3008
SL1344_3084	2925	4000	3071	4544	3791	1082	3911	3154	3271	2796
SL1344_3085	1135	2416	1184	1452	1103	744	2108	1010	899	1043
SL1344_3086	582	1169	524	511	453	342	921	479	350	369
SL1344_3087	663	1369	565	659	587	286	1195	518	466	593
SL1344_3088	708	1598	369	158	978	79	240	223	348	726
SL1344_3089	656	709	474	748	660	277	824	614	739	619
SL1344_3090	93	139	57	95	73	37	129	77	68	86
SL1344_3091	149	65	43	85	66	27	108	53	33	94
SL1344_3092	204	316	139	191	225	69	343	176	114	262
SL1344_3093	36	71	28	32	23	26	63	31	24	35
SL1344_3094	106	169	71	87	110	38	164	75	26	110
SL1344_3095	467	520	295	479	308	137	487	283	193	327
SL1344_3096	742	776	366	519	437	184	768	394	377	438
SL1344_3097	47	57	25	42	25	4	68	28	18	26
SL1344_3098	88	161	57	38	93	3	95	30	36	133
SL1344_3099	186	242	140	206	159	44	258	94	83	190
SL1344_3100	384	396	222	288	211	126	404	247	181	259
SL1344_3101	70	88	70	80	72	57	131	84	57	78
SL1344_3102	321	356	202	279	217	77	299	245	184	210
SL1344_3103	101	157	85	96	83	53	135	103	77	75
SL1344_3104	7	13	14	5	2	5	15	8	6	7
SL1344_3105	34	47	17	35	19	12	41	14	17	12
SL1344_3106	51	117	34	43	33	17	85	36	19	20
SL1344_3107	46	91	20	11	28	11	27	21	22	44
SL1344_3108	143	347	167	137	271	37	106	157	238	197
SL1344_3109	481	1372	407	309	822	157	495	556	462	629
SL1344_3110	193	540	168	152	403	68	190	122	164	233
SL1344_3111	538	809	350	382	442	115	478	316	228	543
SL1344_3112	220	430	2114	429	2350	77	290	2163	1560	2593
SL1344_3113	1529	3112	1164	1523	1313	908	2434	1541	1868	1098
SL1344_3114	547	932	297	450	314	160	921	409	336	405
SL1344_3115	102	122	31	68	67	48	69	28	81	42
SL1344_3116	114	155	114	138	104	29	111	97	86	123
SL1344_3117	197	291	316	388	353	106	180	334	489	270
SL1344_3118	140	187	208	141	171	32	109	223	196	180
SL1344_3119	94	122	117	103	151	26	80	121	154	178
SL1344_3120	277	393	415	363	389	77	251	415	440	419
SL1344_3121	852	1104	1287	1107	1251	321	807	1202	1342	1183
SL1344_3122	129	144	250	184	271	60	100	204	213	319
SL1344_3123	116	153	403	190	287	79	64	257	271	288
SL1344_3124	456	265	654	474	518	221	257	475	426	694
SL1344_3125	180	142	706	315	569	98	81	520	223	699
SL1344_3126	742	1068	4651	1948	3812	572	584	3336	1757	3421
SL1344_3127	457	776	536	526	623	299	781	593	410	675
SL1344_3128	447	608	873	806	1250	286	413	1125	836	1330
SL1344_3129	395	428	835	860	1207	106	373	877	661	1492
SL1344_3130	352	388	667	643	953	134	245	677	646	803
SL1344_3131	723	2085	640	723	829	235	2231	578	496	843
SL1344_3132	5688	3947	2678	7728	1984	881	5461	1548	833	2211
SL1344_3133	5664	3491	2344	7262	1926	1528	4755	1267	616	2312
SL1344_3134	126	100	45	72	70	31	113	49	97	57
SL1344_3135	135	189	112	160	153	51	202	135	66	109
SL1344_3136	82	61	40	65	56	45	65	52	44	63
SL1344_3137	1175	2206	1122	1296	1257	408	2084	1124	891	1341
SL1344_3138	974	1491	1029	1146	1277	389	1451	968	611	1477
SL1344_3139	2258	3746	1666	2199	2252	740	3368	1745	1177	1832
SL1344_3140	34	50	30	48	36	13	42	19	13	47
SL1344_3141	790	1022	338	619	448	182	856	410	373	421
SL1344_3142	2509	2565	1798	2856	2039	1032	2351	1787	2037	2078
SL1344_3143	21	51	52	21	26	12	32	15	30	31
SL1344_3144	16	10	1	6	7	1	0	3	1	3
SL1344_3145	41	57	27	28	34	17	43	24	14	32
SL1344_3146	2081	2194	1422	1670	1358	632	1681	1144	942	1287
SL1344_3147	885	863	518	725	509	278	736	465	399	529
SL1344_3148	5408	6500	4431	6277	4126	2293	5708	4342	4501	4470
SL1344_3149	183	189	109	126	95	38	160	103	84	98
SL1344_3150	846	1889	791	940	936	310	1359	794	856	767
SL1344_3151	120	118	70	84	79	35	87	64	77	76
SL1344_3152	134	182	110	168	112	31	187	109	86	114
SL1344_3153	365	366	275	281	274	100	360	251	213	197
SL1344_3154	254	396	178	296	246	125	328	250	241	243
SL1344_3155	7945	11171	5841	7539	5678	2570	7354	5056	4958	5459
SL1344_3156	1278	1552	995	1198	905	372	1395	794	705	1127
SL1344_3157	969	1789	966	982	1007	476	1350	860	754	981
SL1344_3158	863	1485	770	973	974	347	1069	824	799	844
SL1344_3159	1609	3193	1299	1221	1184	401	1658	1142	756	960
SL1344_3160	4299	6313	2893	4624	3651	1936	5211	3521	3506	3368
SL1344_3161	1290	1391	598	1121	980	369	1237	880	893	809
SL1344_3162	2049	3237	1610	2027	1534	717	2375	1408	1444	1633
SL1344_3163	1418	1254	806	1001	798	320	918	702	650	653
SL1344_3164	483	528	283	386	267	129	466	255	212	342
SL1344_3165	63	99	40	73	58	18	68	47	34	52
SL1344_3166	44	72	43	47	38	13	49	31	36	41
SL1344_3167	94	161	88	120	81	31	121	76	51	99
SL1344_3168	15009	9028	5758	11575	5143	4630	9623	6808	8816	4884
SL1344_3169	1172	1971	938	1365	972	358	1660	1130	1146	1019
SL1344_3170	269	254	114	153	160	48	207	138	146	139
SL1344_3171	25	30	12	24	22	9	28	15	15	50
SL1344_3172	488	685	302	349	298	123	429	266	244	294
SL1344_3173	1509	2361	1392	1730	1310	1191	1841	1279	1664	918
SL1344_3174	1779	3264	1361	1673	1681	870	1943	1280	1290	1119
SL1344_3175	1025	1761	821	1049	1028	527	1312	879	825	778
SL1344_3176	4055	3068	891	1394	886	568	2418	821	973	1039
SL1344_3177	1698	1718	651	873	561	340	1315	593	603	664
SL1344_3178	1207	1128	586	901	742	549	1258	783	723	583
SL1344_3179	919	1571	1053	1117	864	323	1272	1006	990	999
SL1344_3180	285	283	141	155	118	74	209	151	138	172
SL1344_3182	1411	1608	979	1430	909	499	1559	1028	894	921
SL1344_3183	2762	2653	1972	3217	2129	1418	3106	2418	2819	1757
SL1344_3184	9616	9088	6198	8584	5201	2842	8445	5381	4721	7331
SL1344_3185	22965	29206	17624	26203	16892	10163	28243	19293	16725	18287
SL1344_3186	218	293	132	144	115	90	115	79	98	81
SL1344_3187	276	226	187	258	156	103	248	142	81	132
SL1344_3188	1090	1663	758	958	722	339	1201	966	937	604
SL1344_3189	6580	6290	44903	10568	36058	3649	2192	30415	11882	30253
SL1344_3190	520	827	3214	428	3965	275	168	1501	1539	1536
SL1344_3191	239	367	128	178	147	56	242	78	69	105
SL1344_3192	126	207	75	49	129	16	58	39	53	118
SL1344_3193	2206	1619	1241	1761	968	834	1391	1116	1076	1036
SL1344_3194	258	289	184	279	183	78	290	228	209	247
SL1344_3195	173	135	103	148	76	22	141	59	81	117
SL1344_3196	305	422	147	172	244	58	345	185	209	249
SL1344_3197	1568	896	479	898	384	245	755	396	309	569
SL1344_3198	1433	1528	794	944	831	293	1111	634	683	833
SL1344_3199	653	789	347	568	442	341	656	396	393	478
SL1344_3200	665	809	408	620	454	101	716	400	339	777
SL1344_3201	3575	5938	1597	2532	1745	704	5292	1715	1756	1834
SL1344_3202	1976	4051	959	1533	1179	1250	3773	1289	1175	1096
SL1344_3203	29	48	14	32	15	24	78	13	23	30
SL1344_3204	104	68	31	86	43	15	85	29	43	49
SL1344_3205	172	382	109	147	112	32	324	79	66	131
SL1344_3206	110	256	72	134	107	64	240	99	81	76
SL1344_3207	649	880	420	470	630	397	494	309	380	377
SL1344_3208	106	80	46	63	56	30	70	42	70	60
SL1344_3210	267	454	258	365	255	149	418	277	204	240
SL1344_3211	23	52	23	38	43	13	43	18	16	32
SL1344_3212	177	287	338	123	273	57	166	256	243	283
SL1344_3213	182	288	599	181	614	167	164	436	409	471
SL1344_3214	54	110	175	54	183	39	37	151	70	140
SL1344_3215	193	299	441	205	489	110	174	379	166	510
SL1344_3216	111	203	194	103	185	77	126	242	138	252
SL1344_3217	35	43	27	26	56	15	42	21	33	44
SL1344_3220	244	429	142	176	182	40	221	112	138	158
SL1344_3221	89	279	114	106	166	36	170	97	149	93
SL1344_3222	61	128	28	46	57	28	62	55	57	62
SL1344_3223	42	50	30	47	36	6	31	20	25	24
SL1344_3224	307	622	282	282	384	120	498	349	281	402
SL1344_3225	304	622	262	348	398	184	414	406	325	304
SL1344_3226	21	22	14	16	16	10	15	16	3	25
SL1344_3227	0	1	5	1	3	0	8	2	1	1
SL1344_3228	15	21	9	10	9	8	12	11	5	5
SL1344_3229	29	50	8	32	15	3	12	17	4	11
SL1344_3230	36	67	32	33	41	12	47	28	27	38
SL1344_3231	1	8	3	2	1	1	0	6	0	2
SL1344_3232	7	8	0	2	2	3	3	4	1	2
SL1344_3233	40	28	38	27	28	7	37	26	23	53
SL1344_3234	17	13	12	8	5	0	17	2	4	9
SL1344_3235	1503	3350	2006	1427	2640	646	2384	1790	1519	1957
SL1344_3236	749	656	435	719	465	351	684	481	532	421
SL1344_3237	1562	1948	1041	1453	1401	519	1731	1061	1114	1358
SL1344_3238	330	452	185	311	226	97	362	214	215	270
SL1344_3239	2485	3258	1631	1863	1728	397	2656	1457	1190	1734
SL1344_3240	1014	1158	522	719	558	352	1003	651	439	689
SL1344_3241	126	180	46	82	62	30	120	44	46	60
SL1344_3242	76	320	7	47	15	26	362	7	23	22
SL1344_3243	358	291	130	231	165	72	229	158	146	134
SL1344_3244	211	238	172	209	184	54	260	171	165	127
SL1344_3245	455	711	412	435	416	292	565	426	380	398
SL1344_3246	451	762	401	442	436	288	542	434	372	460
SL1344_3247	21	26	10	19	21	2	23	49	44	18
SL1344_3248	47	54	29	36	19	12	49	70	79	10
SL1344_3249	88	293	77	121	127	33	222	100	85	123
SL1344_3250	45	29	18	22	18	12	18	24	17	13
SL1344_3251	28	26	13	17	5	2	32	5	7	2
SL1344_3252	172	141	104	183	111	63	130	68	77	126
SL1344_3253	40250	19998	18480	45737	14588	10354	24469	14583	14884	21573
SL1344_3254	27327	16050	12169	23414	10342	5486	17850	10911	11462	14337
SL1344_3255	30785	31830	22154	36647	20441	11076	29830	23559	29210	21916
SL1344_3256	8498	5779	5334	8438	5525	4492	6900	5864	6299	4753
SL1344_3257	2436	2117	1615	2630	1458	1040	2039	1657	1534	1657
SL1344_3258	3703	3158	2647	5195	2834	1014	4531	3058	3379	4430
SL1344_3259	64349	59080	41181	62018	35108	22754	55590	40096	38475	44055
SL1344_3260	31892	28987	20011	29171	16169	9288	24873	17320	16646	18813
SL1344_3261	17210	12442	9508	14473	7475	3416	12285	7430	6954	10822
SL1344_3262	342	355	318	564	318	161	450	304	243	333
SL1344_3263	782	692	493	421	510	137	507	315	229	507
SL1344_3264	37853	38490	24627	32273	20388	15676	34521	24887	20428	24865
SL1344_3265	2248	3446	2123	2207	2004	793	2626	1793	1783	2185
SL1344_3266	1935	2122	1368	1618	1245	422	1501	1112	1141	1232
SL1344_3267	117	177	123	97	77	10	134	86	44	208
SL1344_3268	18668	27391	16428	20755	16455	10604	22448	17187	14420	15408
SL1344_3269	7867	12284	7007	7828	5628	2578	8777	6496	4502	6890
SL1344_3270	4626	4558	3159	5984	3817	2234	5428	4198	5326	2333
SL1344_3271	7427	7537	4383	6958	4897	2102	7400	4926	4840	4904
SL1344_3272	878	1063	593	883	636	332	949	621	545	666
SL1344_3273	18177	12726	10859	15852	8356	4856	12565	8819	9249	7206
SL1344_3274	4000	2357	2119	3144	1742	1084	2456	1610	1485	1927
SL1344_3275	14328	15752	11591	17012	12384	9441	16908	13791	13472	10997
SL1344_3276	77523	94902	73802	97029	73423	25890	96360	73659	74982	68419
SL1344_3277	1186	1638	1101	1402	1059	614	1606	1234	1196	946
SL1344_3278	552	853	341	459	358	160	867	326	169	420
SL1344_3279	5661	7855	4547	5891	4587	2437	6223	4357	3989	4060
SL1344_3280	2076	2662	1731	2141	1600	470	2405	1453	1275	1968
SL1344_3281	714	1533	518	582	482	305	1030	403	370	523
SL1344_3282	2054	3373	1243	1758	1306	996	2934	1261	1199	1124
SL1344_3283	2869	4318	1932	2463	1912	1352	3423	1943	2085	1531
SL1344_3284	743	1048	485	583	526	309	563	401	389	434
SL1344_3285	1807	2264	1257	1675	1290	624	1655	998	1015	1247
SL1344_3286	788	1124	652	816	660	251	985	656	605	853
SL1344_3287	1177	1595	894	1160	881	557	1505	907	839	1115
SL1344_3288	2227	3264	1786	2416	1778	966	2927	1897	1471	1934
SL1344_3289	2495	3043	1684	2690	1956	1095	2667	1924	1806	1904
SL1344_3290	4126	6044	3276	4503	3415	1601	4690	3239	3147	2972
SL1344_3291	4388	5912	3406	4720	3876	1391	4803	3208	3356	4139
SL1344_3292	8946	10949	6446	9424	6909	2471	9712	5920	5213	9362
SL1344_3293	5366	5849	3114	4296	3205	1414	5071	3221	3184	2937
SL1344_3294	2209	3342	1752	2144	1701	725	2558	1626	1220	2147
SL1344_3295	1731	2202	1124	1572	1197	567	1855	997	911	1541
SL1344_3296	859	1266	638	875	556	101	1043	453	451	985
SL1344_3297	192	242	100	146	77	68	168	93	81	83
SL1344_3298	325	492	310	218	350	229	237	228	194	227
SL1344_3299	433	923	642	550	731	327	626	589	400	689
SL1344_3300	4592	7761	4995	4506	4700	1650	4979	4296	3987	3670
SL1344_3301	63	85	59	51	68	93	53	57	45	50
SL1344_3302	2176	2534	1651	2698	1895	702	2185	1090	798	1830
SL1344_3303	1018	1162	667	1114	801	291	869	558	545	619
SL1344_3304	36	35	13	36	29	16	23	16	19	39
SL1344_3305	228	256	184	303	188	101	273	223	202	222
SL1344_3306	744	901	584	771	534	417	867	722	683	543
SL1344_3307	186	558	144	117	180	89	303	202	249	154
SL1344_3308	112	442	74	100	136	33	203	93	129	145
SL1344_3309	57	87	24	27	53	22	73	28	31	42
SL1344_3310	79	135	37	46	73	13	77	37	62	63
SL1344_3311	225	525	172	94	366	87	99	138	220	210
SL1344_3312	1186	1065	742	1210	937	470	1101	800	707	968
SL1344_3313	1518	1611	1049	1548	1041	1391	1679	1327	1213	1078
SL1344_3314	4050	5207	3195	4589	3152	2573	5190	3467	3159	3096
SL1344_3315	4181	1998	1736	3479	1156	616	1871	1117	1034	1593
SL1344_3316	6203	6439	4790	6698	4615	5345	6651	5472	5435	3700
SL1344_3317	39233	37654	30735	45939	30172	23100	42382	34353	32380	28482
SL1344_3318	2625	1929	971	1872	1309	478	1570	1033	1077	1271
SL1344_3319	5472	8529	4774	5605	4647	1190	7413	4700	4431	4333
SL1344_3320	2120	2763	1504	1724	1585	609	1715	1173	1112	1691
SL1344_3321	1089	1126	704	1078	771	286	1096	631	602	1041
SL1344_3322	77	213	75	62	83	19	115	42	40	50
SL1344_3323	52	117	53	32	58	13	56	17	13	30
SL1344_3324	31	68	24	25	53	9	37	6	13	22
SL1344_3325	13	21	4	16	7	6	18	3	6	12
SL1344_3326	28	74	15	24	29	16	52	16	15	30
SL1344_3327	24	34	15	11	22	3	44	16	30	24
SL1344_3328	6	9	3	5	4	2	5	0	3	4
SL1344_3329	1011	959	539	643	632	293	593	425	618	426
SL1344_3330	1597	1808	970	990	958	369	1191	750	785	1032
SL1344_3331	6134	12983	4936	4073	8173	2221	5258	5664	7256	7804
SL1344_3332	1206	1433	897	1351	1026	466	1232	984	1006	866
SL1344_3333	329	282	260	508	206	135	501	341	114	272
SL1344_3334	187	181	146	257	147	135	224	176	181	82
SL1344_3335	295	1011	161	227	234	69	831	148	135	144
SL1344_3336	420	367	292	424	179	146	472	272	181	256
SL1344_3337	182	272	161	203	146	92	223	148	88	113
SL1344_3338	40	46	35	69	35	11	39	43	14	43
SL1344_3339	127	201	106	141	95	58	198	125	78	174
SL1344_3340	2490	3201	1548	1913	1555	706	1681	1234	1530	1372
SL1344_3341	3086	2964	1691	2372	1725	689	2271	1621	1617	2225
SL1344_3342	4478	4201	2523	3178	2690	1024	3088	1943	2208	2417
SL1344_3343	1892	1775	1100	1255	1128	438	1222	816	823	1218
SL1344_3344	567	593	374	397	405	230	401	293	295	450
SL1344_3345	1148	1196	802	963	789	419	991	677	667	989
SL1344_3346	7167	9120	6783	7904	6916	2861	8770	6414	5712	7184
SL1344_3348	2345	3171	2478	1769	2123	651	2135	1740	1247	2023
SL1344_3349	237	392	181	173	187	94	327	222	123	187
SL1344_3350	560	692	307	369	318	114	504	236	239	357
SL1344_3351	217	379	149	172	168	60	190	119	79	212
SL1344_3352	9323	14169	8345	12583	7718	4375	12073	8151	7072	8530
SL1344_3353	6941	9872	6248	9391	6067	3703	8664	5828	4971	7022
SL1344_3354	156	135	96	149	82	73	172	96	69	88
SL1344_3355	917	1053	695	1036	739	208	976	611	494	976
SL1344_3356	267	371	316	374	206	147	326	212	212	315
SL1344_3357	21192	22294	18359	28130	14193	8577	21962	16126	13076	18143
SL1344_3358	1432	1379	1225	1702	962	710	1530	1118	788	1217
SL1344_3359	518	336	348	437	239	107	462	365	244	283
SL1344_3360	233	173	155	202	152	46	157	140	132	154
SL1344_3361	256	347	132	194	125	74	256	118	102	139
SL1344_3362	23	42	19	27	18	13	14	18	28	19
SL1344_3363	11	17	30	37	19	8	13	11	11	12
SL1344_3364	167	190	91	166	102	57	177	119	72	122
SL1344_3365	450	812	109	186	92	242	872	112	71	79
SL1344_3366	185	421	97	137	148	93	379	106	90	112
